DEBUG 2025-09-21 21:39:04,876 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/utils/dateformat.py first seen with mtime 1758312777.2429385
DEBUG 2025-09-21 21:39:04,882 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/views/generic/detail.py first seen with mtime 1758312778.669528
DEBUG 2025-09-21 21:39:04,886 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/apps/config.py first seen with mtime 1758312624.3441978
DEBUG 2025-09-21 21:39:04,892 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/contrib/staticfiles/management/__init__.py first seen with mtime 1758312764.2315464
DEBUG 2025-09-21 21:39:04,894 autoreload File /usr/lib/python3.10/io.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,900 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/contrib/admin/views/__init__.py first seen with mtime 1758312662.8545318
DEBUG 2025-09-21 21:39:04,905 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/contrib/auth/validators.py first seen with mtime 1758312673.2715752
DEBUG 2025-09-21 21:39:04,911 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/template/loader_tags.py first seen with mtime 1758312775.756691
DEBUG 2025-09-21 21:39:04,915 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/core/paginator.py first seen with mtime 1758312764.584032
DEBUG 2025-09-21 21:39:04,921 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/db/backends/sqlite3/_functions.py first seen with mtime 1758312769.117576
DEBUG 2025-09-21 21:39:04,923 autoreload File /usr/lib/python3.10/email/mime/__init__.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,930 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/db/backends/signals.py first seen with mtime 1758312767.6297097
DEBUG 2025-09-21 21:39:04,935 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/db/models/constants.py first seen with mtime 1758312769.9722676
DEBUG 2025-09-21 21:39:04,938 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/rest_framework/views.py first seen with mtime 1758312897.2241545
DEBUG 2025-09-21 21:39:04,945 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/contrib/contenttypes/admin.py first seen with mtime 1758312682.3538551
DEBUG 2025-09-21 21:39:04,956 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/rest_framework/permissions.py first seen with mtime 1758312896.7992208
DEBUG 2025-09-21 21:39:04,961 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/sqlparse/lexer.py first seen with mtime 1758312619.1870058
DEBUG 2025-09-21 21:39:04,965 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/rest_framework/fields.py first seen with mtime 1758312896.5572953
DEBUG 2025-09-21 21:39:04,971 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/db/models/fields/json.py first seen with mtime 1758312770.3713348
DEBUG 2025-09-21 21:39:04,973 autoreload File /usr/lib/python3.10/posixpath.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,977 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/sqlparse/cli.py first seen with mtime 1758312619.1023066
DEBUG 2025-09-21 21:39:04,981 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/idna/idnadata.py first seen with mtime 1758480574.220831
DEBUG 2025-09-21 21:39:04,982 autoreload File /usr/lib/python3.10/sre_compile.py first seen with mtime 1755268363.0
